t,Goal Position,Actual Position,Actual Velocity
0.03486490249633789,2650,2650,0
0.0508427619934082,2650,2650,0
0.06685376167297363,2650,2650,0
0.08272576332092285,2650,2650,0
0.09872007369995117,2650,2650,0
0.11469388008117676,2650,2650,0
0.13070893287658691,2650,2650,0
0.14670896530151367,2650,2650,0
0.16275882720947266,2650,2650,0
0.17873573303222656,2650,2650,0
0.19478201866149902,2650,2650,0
0.21084380149841309,2650,2650,0
0.22697710990905762,2650,2650,0
0.24278712272644043,2650,2650,0
0.2587859630584717,2650,2650,0
0.2748119831085205,2650,2650,0
0.29084205627441406,2650,2650,0
0.30683183670043945,2650,2650,0
0.32279086112976074,2650,2650,0
0.3387258052825928,2650,2650,0
0.3547687530517578,2650,2650,0
0.3706839084625244,2650,2650,0
0.3867650032043457,2650,2650,0
0.4027388095855713,2650,2650,0
0.41878390312194824,2650,2650,0
0.43472886085510254,2650,2650,0
0.4667699337005615,2640,2650,0
0.48286008834838867,2640,2650,0
0.49889683723449707,2640,2649,0
0.5149259567260742,2640,2649,0
0.5309197902679443,2640,2649,0
0.5468180179595947,2640,2647,-1
0.5627849102020264,2640,2646,-2
0.5788238048553467,2640,2644,-3
0.5947468280792236,2640,2643,-4
0.610659122467041,2640,2642,-5
0.6267540454864502,2640,2641,-5
0.6427340507507324,2640,2641,-4
0.6589901447296143,2640,2640,-4
0.6748621463775635,2640,2640,-2
0.6909749507904053,2640,2640,-1
0.7069289684295654,2640,2640,-1
0.7227299213409424,2640,2640,0
0.7387449741363525,2640,2640,0
0.7548098564147949,2640,2640,0
0.770831823348999,2640,2640,0
0.7866759300231934,2640,2640,0
0.8027670383453369,2640,2640,0
0.8187069892883301,2640,2640,0
0.8347539901733398,2640,2640,0
0.850830078125,2640,2640,0
0.8668520450592041,2640,2640,0
0.8988258838653564,2540,2640,0
0.9147999286651611,2540,2640,0
0.9309649467468262,2540,2640,0
0.9468069076538086,2540,2639,0
0.9627771377563477,2540,2638,0
0.9787478446960449,2540,2637,-1
0.9947550296783447,2540,2637,-2
1.0107300281524658,2540,2635,-3
1.0268218517303467,2540,2634,-4
1.0430641174316406,2540,2631,-4
1.0587780475616455,2540,2630,-5
1.0748789310455322,2540,2627,-6
1.0908329486846924,2540,2624,-7
1.107050895690918,2540,2621,-8
1.1226868629455566,2540,2618,-9
1.1388089656829834,2540,2615,-11
1.1546947956085205,2540,2611,-11
1.1706969738006592,2540,2607,-12
1.1867289543151855,2540,2602,-14
1.2027709484100342,2540,2598,-15
1.2186980247497559,2540,2592,-17
1.2346348762512207,2540,2587,-18
1.2506680488586426,2540,2582,-19
1.2665750980377197,2540,2577,-19
1.282891035079956,2540,2573,-20
1.2988269329071045,2540,2568,-20
1.3147058486938477,2540,2564,-19
